,Field and institution,Rank,Doctorate recipients,field
0,Johns Hopkins U.,1,244,Life sciences
1,U. Wisconsin-Madison,2,241,Life sciences
2,U. Florida,3,227,Life sciences
3,Harvard U.,4,211,Life sciences
4,"U. North Carolina, Chapel Hill",5,205,Life sciences
5,"U. California, Davis",6,203,Life sciences
6,"Ohio State U., Columbus",7,196,Life sciences
7,Walden U.,8,186,Life sciences
8,"U. California, Los Angeles",9,179,Life sciences
9,"U. Minnesota, Twin Cities",9,179,Life sciences
10,"Texas A&M U., College Station and Health Science Center",11,173,Life sciences
11,"U. Michigan, Ann Arbor",12,167,Life sciences
12,"U. California, Berkeley",13,162,Life sciences
13,"U. Washington, Seattle",14,160,Life sciences
14,U. Georgia,15,154,Life sciences
15,"Pennsylvania State U., University Park and Hershey Medical Center",16,149,Life sciences
16,"U. Illinois, Urbana-Champaign",17,146,Life sciences
17,U. Pennsylvania,17,146,Life sciences
18,"Purdue U., West Lafayette",19,145,Life sciences
19,Cornell U.,20,133,Life sciences
20,Stanford U.,1,139,Physical sciences and earth sciences
21,"U. California, Berkeley",2,129,Physical sciences and earth sciences
22,Massachusetts Institute of Technology,3,111,Physical sciences and earth sciences
23,Harvard U.,4,107,Physical sciences and earth sciences
24,"U. Illinois, Urbana-Champaign",5,99,Physical sciences and earth sciences
25,"U. Texas, Austin",6,98,Physical sciences and earth sciences
26,"Purdue U., West Lafayette",7,97,Physical sciences and earth sciences
27,"U. Michigan, Ann Arbor",7,97,Physical sciences and earth sciences
28,U. Wisconsin-Madison,9,95,Physical sciences and earth sciences
29,"Texas A&M U., College Station and Health Science Center",10,88,Physical sciences and earth sciences
30,"Pennsylvania State U., University Park and Hershey Medical Center",11,86,Physical sciences and earth sciences
31,California Institute of Technology,12,85,Physical sciences and earth sciences
32,"U. California, San Diego",12,85,Physical sciences and earth sciences
33,U. Colorado Boulder,14,82,Physical sciences and earth sciences
34,"Ohio State U., Columbus",15,81,Physical sciences and earth sciences
35,"U. Maryland, College Park",15,81,Physical sciences and earth sciences
36,"U. Washington, Seattle",17,80,Physical sciences and earth sciences
37,U. Arizona,18,77,Physical sciences and earth sciences
38,Princeton U.,19,76,Physical sciences and earth sciences
39,U. Florida,20,75,Physical sciences and earth sciences
40,Stanford U.,1,84,Mathematics and computer sciences
41,"U. Illinois, Urbana-Champaign",2,74,Mathematics and computer sciences
42,"U. California, Los Angeles",3,67,Mathematics and computer sciences
43,North Carolina State U.,4,61,Mathematics and computer sciences
44,"U. California, Berkeley",4,61,Mathematics and computer sciences
45,Carnegie Mellon U.,6,58,Mathematics and computer sciences
